Acreage,Region,County,Total,year,month,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,duration,oil,Complex Type,Reporting Ranger,Fire Report Method,Ownership,Latitude,Longitude
0.2,1,Suffolk,0.0,2008,1,0,0,0,0,0,0,0.0,8,5.0,"Byrnes,Timothy ",Fire Department,State Forest/RF Area,40.7851,-73.29247
10.9,1,Suffolk,0.0,2008,3,0,0,0,0,0,0,0.0,1,5.0,"Byrnes,Timothy ",Supervisor,Wildlife Management Area,40.902,-72.80199999999998
2.3,1,Suffolk,0.0,2008,3,0,0,0,0,0,0,0.0,1,5.0,"Byrnes,Timothy ",Supervisor,Wildlife Management Area,40.88800000000001,-72.818
0.2,4,Schoharie,0.0,2008,3,0,0,0,0,0,0,0.0,1,5.0,"Henry,William ",911 Dispatch,Private Property,42.65,-74.32
5.8,1,Suffolk,0.0,2008,3,0,0,0,0,0,0,0.0,1,5.0,"Byrnes,Timothy ",Supervisor,Wildlife Management Area,40.9021,-72.82048
5.8,1,Suffolk,0.0,2008,3,0,0,0,0,0,0,0.0,1,5.0,"Byrnes,Timothy ",Supervisor,Wildlife Management Area,40.90167,-72.82158000000003
1.0,4,Schoharie,0.0,2008,3,0,0,0,0,0,0,0.0,1,5.0,"Henry,William ",911 Dispatch,Private Property,42.697,-74.257
14.0,1,Suffolk,0.0,2008,3,0,0,0,0,0,0,0.0,3,5.0,"Byrnes,Timothy ",Ranger Patrol,Wildlife Management Area,40.86325,-72.7241
7.0,4,Columbia,0.0,2008,3,0,0,0,1,0,0,0.0,9,4.0,"DiCintio,Chris A",911 Dispatch,Private Property,42.14286,-73.5576
20.4,1,Suffolk,0.0,2008,4,0,0,0,0,0,0,0.0,3,5.0,"Gallagher,Bryan ",Ranger Patrol,Wildlife Management Area,40.90304,-72.8238
11.8,8,Ontario,0.0,2008,4,0,0,0,0,0,0,1.0,1,4.0,"Dormer,Patrick G",911 Dispatch,Private Property,42.73785,-77.34983000000003
3.0,4,Albany,0.0,2008,4,0,0,0,0,0,0,0.0,3,5.0,"Glesmann,Karen ",Other,Unique Area,42.7158,-73.87235
45.9,3,Dutchess,0.0,2008,4,0,0,0,0,0,0,1.0,9,4.0,"Deslauriers,Jacob P",911 Dispatch,State Forest/RF Area,41.97197,-73.7459
6.2,3,Ulster,0.0,2008,4,0,0,0,0,0,0,0.0,3,5.0,"Mecus,Robert ",Other,Private Property,41.87569000000001,-74.16829
1.5,4,Otsego,0.0,2008,4,0,0,0,1,0,0,0.0,1,4.0,"Prunoske,James ",911 Dispatch,Private Property,42.38189000000001,-75.37085
1.0,4,Greene,0.0,2008,4,0,0,0,0,0,0,0.0,2,4.0,"Nelson,Christine X",911 Dispatch,Private Property,42.33623,-73.8502
6.2,3,Ulster,0.0,2008,4,0,0,0,0,0,0,0.0,3,5.0,"Mecus,Robert ",Other,Private Property,41.87569000000001,-74.16829
