Cause,Fire-Start-Date,Initial-Report-Date,Fire-Out-Date,Region,Zone,County,Municipality,NFFL-Fuel-Model,Complex-Type,Acreage,Latitude,Longitude,Ownership,Reporting-Ranger,Fire-Report-Method,New-York-Zip-Codes,Counties,NYS-Municipal-Boundaries,duration,oil,year,month,day
Equipment,01/21/2008,01/21/2008,01/21/2008,1,1A,Suffolk,BABYLON, 8 - Timber - Light Hardwood Litter,5.0,0.2,40.7851,-73.29247,State Forest/RF Area,"Byrnes,Timothy ",Fire Department,1074.0,2179.0,1019.0,0.0,8,2008,01,21
Prescribed Fire,03/18/2008,03/18/2008,03/18/2008,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,5.0,10.9,40.902,-72.80199999999998,Wildlife Management Area,"Byrnes,Timothy ",Supervisor,1607.0,2179.0,1017.0,0.0,1,2008,03,18
Prescribed Fire,03/18/2008,03/18/2008,03/18/2008,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,5.0,2.3,40.88800000000001,-72.818,Wildlife Management Area,"Byrnes,Timothy ",Supervisor,1607.0,2179.0,1017.0,0.0,1,2008,03,18
Miscellaneous,03/22/2008,03/22/2008,03/22/2008,4,4B,Schoharie,SCHOHARIE, 1 - Grass - Light,5.0,0.2,42.65,-74.32,Private Property,"Henry,William ",911 Dispatch,1404.0,629.0,146.0,0.0,1,2008,03,22
Prescribed Fire,03/22/2008,03/22/2008,03/22/2008,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,5.0,5.8,40.9021,-72.82048,Wildlife Management Area,"Byrnes,Timothy ",Supervisor,1607.0,2179.0,1017.0,0.0,1,2008,03,22
Prescribed Fire,03/22/2008,03/22/2008,03/22/2008,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,5.0,5.8,40.90167,-72.82158000000003,Wildlife Management Area,"Byrnes,Timothy ",Supervisor,1607.0,2179.0,1017.0,0.0,1,2008,03,22
Debris Burning,03/24/2008,03/24/2008,03/24/2008,4,4B,Schoharie,SCHOHARIE, 1 - Grass - Light,5.0,1.0,42.697,-74.257,Private Property,"Henry,William ",911 Dispatch,1404.0,629.0,146.0,0.0,1,2008,03,24
Prescribed Fire,03/25/2008,03/25/2008,03/25/2008,1,1A,Suffolk,BROOKHAVEN, 3 - Grass - Heavy,5.0,14.0,40.86325,-72.7241,Wildlife Management Area,"Byrnes,Timothy ",Ranger Patrol,1534.0,2179.0,1022.0,0.0,3,2008,03,25
Debris Burning,03/25/2008,03/25/2008,03/25/2008,4,4A,Columbia,COPAKE, 9 - Timber - Medium Hardwood Litter,4.0,7.0,42.14286,-73.5576,Private Property,"DiCintio,Chris A",911 Dispatch,973.0,619.0,521.0,0.0,9,2008,03,25
Prescribed Fire,04/03/2008,04/03/2008,04/03/2008,1,1A,Suffolk,BROOKHAVEN, 3 - Grass - Heavy,5.0,20.4,40.90304,-72.8238,Wildlife Management Area,"Gallagher,Bryan ",Ranger Patrol,1607.0,2179.0,1017.0,0.0,3,2008,04,03
Debris Burning,04/03/2008,04/05/2008,04/04/2008,8,8A,Ontario,SOUTH BRISTOL, 1 - Grass - Light,4.0,11.8,42.73785,-77.34983000000003,Private Property,"Dormer,Patrick G",911 Dispatch,323.0,2133.0,800.0,1.0,1,2008,04,03
Prescribed Fire,04/07/2008,04/07/2008,04/07/2008,4,4A,Albany,ALBANY, 3 - Grass - Heavy,5.0,3.0,42.7158,-73.87235,Unique Area,"Glesmann,Karen ",Other,40.0,2030.0,814.0,0.0,3,2008,04,07
Debris Burning,04/09/2008,04/09/2008,04/10/2008,3,3B,Dutchess,MILAN, 9 - Timber - Medium Hardwood Litter,4.0,45.9,41.97197,-73.7459,State Forest/RF Area,"Deslauriers,Jacob P",911 Dispatch,1005.0,2040.0,593.0,1.0,9,2008,04,09
Prescribed Fire,04/09/2008,04/09/2008,04/09/2008,3,3B,Ulster,MARBLETOWN, 3 - Grass - Heavy,5.0,6.2,41.87569000000001,-74.16829,Private Property,"Mecus,Robert ",Other,335.0,2182.0,422.0,0.0,3,2008,04,09
Equipment,04/09/2008,04/09/2008,04/09/2008,4,4B,Otsego,UNADILLA, 1 - Grass - Light,4.0,1.5,42.38189000000001,-75.37085,Private Property,"Prunoske,James ",911 Dispatch,441.0,2136.0,897.0,0.0,1,2008,04,09
Smoking,04/09/2008,04/09/2008,04/09/2008,4,4A,Greene,COXSACKIE, 2 - Grass - Understory,4.0,1.0,42.33623,-73.8502,Private Property,"Nelson,Christine X",911 Dispatch,1177.0,2087.0,759.0,0.0,2,2008,04,09
Prescribed Fire,04/10/2008,04/11/2008,04/10/2008,3,3B,Ulster,MARBLETOWN, 3 - Grass - Heavy,5.0,6.2,41.87569000000001,-74.16829,Private Property,"Mecus,Robert ",Other,335.0,2182.0,422.0,0.0,3,2008,04,10
Debris Burning,04/09/2008,04/09/2008,04/09/2008,9,9A,Allegany,SCIO, 3 - Grass - Heavy,5.0,4.4,42.18219000000001,-77.90907,Private Property,"Liebig,Peter J",911 Dispatch,911.0,2031.0,448.0,0.0,3,2008,04,09
Debris Burning,04/15/2008,04/15/2008,04/15/2008,4,4A,Greene,CATSKILL, 9 - Timber - Medium Hardwood Litter,4.0,1.0,42.17623,-74.02845,Private Property,"Breigle,Jeffrey ",911 Dispatch,256.0,2087.0,760.0,0.0,9,2008,04,15
